ID;canonicalsmiles;xlogp;polararea
44314119;CCCCCCC1C(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)O1)CC)CO)C(C)CC)CC(C)C)C)C;4.500;183000
44314377;CCCCCCC1C(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)O1)C(C)O)CO)C(C)CC)CC(C)C)C)C;3.900;204000
44325059;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;3.000;223000
44326807;CCOC(=O)CC(C(CCCCN)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;2.000;160000
44326934;CCOC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;3.600;134000
49796465;CCOC(=O)CC(C(CCCCN)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O.CC(=O)O;NULL;197000
10574622;CC(C)CC(C(CC(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)O)O)NC(=O)C;2.000;145000
12096747;CCCCCCC1C(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)O1)C(C)O)CO)C(C)CC)CC(C)C)C)C;3.900;204000
12096748;CCCCCCCCC1C(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)O1)C(C)O)CO)C(C)CC)CC(C)C)C)C;5.000;204000
44314057;CCCCCCC1C(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)O1)C(C)O)CO)C(C)CC)CC(C)C)C)C;3.900;204000
44314378;CCCCCCC1C(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)O1)C(C)O)CO)C(C)CC)CC(C)C)C)C;3.900;204000
44314379;CCCCCCC1C(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)O1)C(C)OC)CO)C(C)CC)CC(C)C)C)C;3.900;193000
44318627;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;3.000;223000
44346072;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;3.000;223000
44384365;CC(C)CC(C(CC(=O)NC(C)C(=O)OC)O)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C;2.900;163000
44440537;CCC(C)C(C(=O)NC(C(C)CC)C(=O)NC(C)C(=O)NC(C(C)CC)C(=O)NC(C(C)O)C(=O)NC(CC1CCCCC1)C(=O)O)N;1.100;229000
44514945;CCCCC(C(=O)NC(CC(C)C)C(CC(=O)NC(C)C(=O)NC(CC(C)C)C(CC(=O)O)O)O)NC(=O)C(C(C)C)NC(=O)CC(C)C;3.500;223000
60001739;CCCC(C(=O)NC(CC(C)C)C(CC(=O)NC(C(C)C)C(=O)NC(C)C(=O)O)O)NC(=O)C(CC(C)C)NC(=O)C(CCC(=O)O)N;-1.000;266000
87650789;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O.CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;NULL;447000
87919608;CC(C)CC(C(CC(=O)N(C(C)C(=O)C(C(C(CC(C)C)N)O)C(=O)O)C(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O)N;0.100;242000
88309815;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O.C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O;NULL;379000
88358144;CC(C)CC(C(CC(=O)NC(C)(C)C(=O)NC(CC(C)C)C(CC(=O)O)O)O)NC(=O)C(C)(C(C)C)NC(=O)CC(C)C;2.700;194000
88358158;[Li+].CC(C)CC(C(CC(=O)[O-])O)NC(=O)C(C)(C)NC(=O)CC(C(CC(C)C)NC(=O)OC(C)(C)C)O;NULL;177000
88383428;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)N;-2.600;113000
88454704;CCCC(C)C(=O)N(C(CC(C)C)C(CC(=O)O)O)C(=O)C(C)(C)N(C(=O)CC(C)C)C(=O)CC(C(CC(C)C)N)O;1.100;179000
10235669;CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CCCC(=O)O)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C;6.400;316000
11527901;CC(C)CC(C(CC(=O)ON1C(=O)CCC1=O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;2.400;250000
13040982;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;3.000;223000
44330878;CCOC(=O)CC(C(CCCN)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;1.600;160000
44331188;CCOC(=O)CC(C(CCCCN)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;2.000;160000
44331193;CCOC(=O)CC(C(CCCCN)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;2.000;160000
